,id,aim,results,dis.1,dis.2,dis.3,dis.4,dis.5,dis.6,measure,est.1,est.2,est.3,est.4,est.5,est.6,found.by.ref,inc.screen,inc.final,reason,inc.start,inc.stop,design,study.pop,study.site,mig.def1,mig.def2,mig.def3,mig.def4,rsn.migr,ethni,note
1,Ahmed_2007,time trends of tb co-infection hiv,association of tb co-infection hiv and non-UK region of origin,hiv,,,,,,,,,,,,,0,1,0,1,1999,2003,surveillance,,UK,1,NA,NA,NA,0,2,
2,Akkerman_2016,propose a model for tb screening,the proposed model could easily be implemented as a flexible way to screen for tb in newly arrived migrants,tb,,,,,,,,,,,,,0,0,0,3,NA,NA,commentary,,Netherlands,0,NA,NA,NA,NA,0,
3,Alawieh_2014,development of the number of cases of  leishmaniasis in Lebanon,outbreak of leishmaniasis possibly due to influx of Syrian refugees,leishmaniasis,,,,,,,,,,,,,1,1,1,NA,2001,2014,case-series,,Lebanon,2,NA,NA,NA,0,1,
4,Aldridge_2014,yield of pre-entry screening programmes for active and latent tb ,targeting high-prevalence countries and pre-entry screening should be considered,tb,,,,,,,,,,,,,0,1,1,NA,1980,2014,review,,,1,2,3,4,1,0,
5,Angeletti_2016,describe the health of 48 Syrian asylum seekers,all were negative for hbv and hcv and hiv. Several unusual gram-negative bacteria species were isolated and ESBL/CPO and MRSA bacteria were found.,hiv,hbv,hcv,,,,prev,0,0,0,,,,0,1,1,NA,2015,2015,case-series,,Italy,4,NA,NA,NA,0,0,
6,Araj_2016,incidence of new tb cases in Lebanon,the incidence were decreasing from 1999 to 2006 and increasing thereafter. The increase were mainly due to influx of Ethiopian and Syrian refugees,tb,,,,,,incid,0.0002,,,,,,0,1,1,NA,1999,2013,register based cohort,,Lebanon,1,NA,NA,NA,0,0,
7,Banfield_2012,investigate association between IGRA performance and age and co-morbidities in resettled African refugees,there was a significant and independent association of both age and number of comorbidities and IGRA performance,tb,,,,,,,,,,,,,0,0,0,3,NA,NA,,,,NA,NA,NA,NA,NA,NA,
8,Banks_2016,evaluation of hbv screening of pregnant women,high hbv prevalence among migrants and refugees ,hbv,,,,,,,,,,,,,0,0,0,2,NA,NA,,,,NA,NA,NA,NA,NA,NA,
9,Barnett_2012,describe the population and health issues in migrants that recieved health screening,most frequent diseases were ltbi and eosinophilia and hbv. Among the rare diseases were infectious tb and malaria and soil-transmitted helminths,ltbi,tb,hbv,hiv,,,prev,0.43211,0.00372,0.06378,0.00552,,,0,1,1,NA,1997,2009,surveillance,,USA,5,NA,NA,NA,0,1,
10,Bassari_2010,explore knowledge about malaria transmission and protection in a Afghan refugee population,most afghan refugees did not use nets for self-protection. ,malaria,,,,,,,,,,,,,1,0,0,3,NA,NA,,,,NA,NA,NA,NA,NA,NA,
11,Basseri_2012,characterisation of sleeping patterns among populations at risk of anopheline biting,most afghan refugees did not use nets for self-protection. ,malaria,,,,,,,,,,,,,0,0,0,3,NA,NA,,,,NA,NA,NA,NA,NA,NA,
